Passenger_ID,Ticket_ID,Passenger_Name,Sex,Age,Status
1,1,Ravi,M,23,S4 - 66
2,1,AmitK,F,34,S4 - 65
3,1,TARAN,M,33,S4 - 67
4,1,Neeraj,M,22,S4 - 68
5,1,Sangeeta,M,34,S4 - 69
6,1,Kshitiz,M,23,S4 - 70
7,2,Ankit,F,44,S5-71
5,2,Neeraj,F,44,S3-49
6,2,Kunal,F,52,S5-60
7,2,Ravi,F,48,S2-35
8,2,Sangeeta,F,48,S2-69
9,3,Suman,M,39,S7-50
10,3,Sangeeta,M,39,S3-8
11,3,Sangeeta,M,49,S7-4
12,4,Pooja,M,57,S6-22
13,4,Neeraj,F,20,S1-60
14,4,Ravi,F,48,S6-25
15,4,Suman,M,22,S10-23
16,4,Rohit,M,51,S1-8
17,5,Suman,M,34,S3-35
18,5,Priya,M,47,S5-17
19,5,Neeraj,F,20,S8-70
20,6,Suman,M,24,S9-60
21,6,Priya,F,65,S9-57
22,6,Pooja,F,28,S3-48
23,6,Amit,M,36,S7-13
24,6,Neeraj,F,20,S5-21
25,6,Suman,F,46,S7-66
26,7,Amit,M,46,S4-5
27,7,Ankit,M,64,S2-51
28,8,Priya,F,22,S4-3
29,8,Ravi,F,20,S2-63
30,8,Amit,F,30,S9-20
31,8,Priya,M,60,S4-19
32,9,Pooja,F,52,S2-1
33,9,Suman,M,34,S2-14
34,9,Sangeeta,F,37,S1-30
35,9,Priya,F,64,S1-40
36,9,Priya,M,22,S9-25
37,9,Pooja,F,44,S4-10
38,10,Ravi,F,54,S3-36
39,10,Amit,F,57,S7-60
40,11,Priya,F,48,S6-37
41,11,Rohit,F,41,S8-1
42,11,Neeraj,M,32,S7-56
43,11,Suman,F,44,S8-50
44,11,Sangeeta,F,32,S6-45
45,12,Kunal,M,33,S9-61
46,12,Priya,F,56,S5-30
47,12,Amit,M,40,S7-50
48,13,Neeraj,M,45,S5-30
49,13,Priya,F,49,S1-60
50,14,Rohit,M,48,S2-35
51,14,Priya,F,45,S10-31
52,14,Pooja,F,32,S4-64
53,14,Suman,F,52,S10-16
54,15,Rohit,F,37,S8-38
55,15,Priya,M,41,S2-49
56,15,Sangeeta,F,34,S1-20
57,16,Sangeeta,M,29,S6-49
58,16,Amit,F,23,S8-19
59,16,Sangeeta,M,33,S9-41
60,16,Neeraj,M,24,S6-35
61,16,Kunal,M,58,S6-62
62,17,Neeraj,F,44,S8-46
63,17,Neeraj,M,63,S8-60
64,17,Suman,F,20,S5-67
65,17,Pooja,M,61,S9-54
66,18,Rohit,M,28,S6-38
67,18,Ravi,F,35,S7-4
68,18,Amit,F,20,S3-38
69,19,Pooja,M,60,S1-69
70,19,Ravi,F,38,S2-35
71,20,Ankit,M,34,S1-37
72,20,Kunal,F,58,S4-21
73,20,Pooja,M,19,S9-17
74,21,Rohit,F,55,S9-21
